SoC,averageEnergyCost,averageSoC,batteryCost,batteryCost_CRITICAL_PEAK,batteryCost_NOT_TOU,batteryCost_OFF_PEAK,batteryCost_ON_PEAK,batteryCost_PARTIAL_PEAK,batteryEnergy,batteryEnergy_CRITICAL_PEAK,batteryEnergy_NOT_TOU,batteryEnergy_OFF_PEAK,batteryEnergy_ON_PEAK,batteryEnergy_PARTIAL_PEAK,batteryPower,batteryPower_CRITICAL_PEAK,batteryPower_NOT_TOU,batteryPower_OFF_PEAK,batteryPower_ON_PEAK,batteryPower_PARTIAL_PEAK,batteryTouCumulativeCost,consumption.energy.fromBattery_kWh,consumption.energy.fromGrid_kWh,consumption.energy.fromSolar_kWh,consumption.power.fromBattery_kW,consumption.power.fromGrid_kW,consumption.power.fromSolar_kW,consumptionCost,consumptionCost_CRITICAL_PEAK,consumptionCost_NOT_TOU,consumptionCost_OFF_PEAK,consumptionCost_ON_PEAK,consumptionCost_PARTIAL_PEAK,consumptionEnergy,consumptionEnergy_CRITICAL_PEAK,consumptionEnergy_NOT_TOU,consumptionEnergy_OFF_PEAK,consumptionEnergy_ON_PEAK,consumptionEnergy_PARTIAL_PEAK,consumptionPower,consumptionPower_CRITICAL_PEAK,consumptionPower_NOT_TOU,consumptionPower_OFF_PEAK,consumptionPower_ON_PEAK,consumptionPower_PARTIAL_PEAK,consumptionTouCumulativeCost,cumulativeDailyCost,cumulativeDailySavings,currentBatteryEnergy,currentBatteryPower,currentConsumptionEnergy,currentConsumptionPower,currentGenerationEnergy,currentGenerationPower,currentNetEnergy,currentNetPower,efficiencyInOut,end,generationCost,generationCost_CRITICAL_PEAK,generationCost_NOT_TOU,generationCost_OFF_PEAK,generationCost_ON_PEAK,generationCost_PARTIAL_PEAK,generationEnergy,generationEnergy_CRITICAL_PEAK,generationEnergy_NOT_TOU,generationEnergy_OFF_PEAK,generationEnergy_ON_PEAK,generationEnergy_PARTIAL_PEAK,generationPower,generationPower_CRITICAL_PEAK,generationPower_NOT_TOU,generationPower_OFF_PEAK,generationPower_ON_PEAK,generationPower_PARTIAL_PEAK,generationTouCumulativeCost,kpi.averageSolarPerformance_kWh_Per_kWp,kpi.performanceRatio,kpi.solarPerformanceSoFar_kWh_Per_kWp,kpi.solarPerformance_kWh_Per_kWp,netCost,netCost_CRITICAL_PEAK,netCost_NOT_TOU,netCost_OFF_PEAK,netCost_ON_PEAK,netCost_PARTIAL_PEAK,netEnergy,netEnergy_CRITICAL_PEAK,netEnergy_NOT_TOU,netEnergy_OFF_PEAK,netEnergy_ON_PEAK,netEnergy_PARTIAL_PEAK,netPower,netPower_CRITICAL_PEAK,netPower_NOT_TOU,netPower_OFF_PEAK,netPower_ON_PEAK,netPower_PARTIAL_PEAK,numDataPoints,savings,savings_CRITICAL_PEAK,savings_NOT_TOU,savings_OFF_PEAK,savings_ON_PEAK,savings_PARTIAL_PEAK,solar.energy.exportedToBattery_kWh,solar.energy.exportedToGrid_kWh,solar.energy.exportedToHome_kWh,solar.power.exportedToBattery_kW,solar.power.exportedToGrid_kW,solar.power.exportedToHome_kW,start,timestamp,totalSavings,touPeriod
100.0,0.097,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,1.236,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25477718000.0,0.0,0.103,0.0,0.0,0.0,1676.0,0.0,1.236,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.103,1.236,0.0,0.0,0.108,1.297,0.9528,1591419299,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8374160400.0,0.0,0.108,0.0,0.0,0.0,1720.0,0.0,1.297,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591419000,1591419300,0.0,NOT_TOU
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25477961700.0,0.0,0.068,0.0,0.0,0.0,450.0,0.0,0.812,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.068,0.812,0.0,0.0,0.073,0.874,0.9298,1591419599,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8374422500.0,0.0,0.073,0.0,0.0,0.0,494.0,0.0,0.874,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591419300,1591419600,0.0,NOT_TOU
100.0,0.133,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.901,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25478232100.0,0.0,0.075,0.0,0.0,0.0,397.0,0.0,0.901,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.075,0.901,0.0,0.0,0.081,0.969,0.9297,1591419899,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8374713300.0,0.0,0.081,0.0,0.0,0.0,441.0,0.0,0.969,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591419600,1591419900,0.0,NOT_TOU
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25478340600.0,0.0,0.03,0.0,0.0,0.0,338.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.361,0.0,0.0,0.035,0.422,0.8553,1591420199,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8374840300.0,0.0,0.035,0.0,0.0,0.0,381.0,0.0,0.422,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591419900,1591420201,0.0,NOT_TOU
100.0,0.089,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,1.343,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25478742000.0,0.0,0.112,0.0,0.0,0.0,951.0,0.0,1.343,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.112,1.343,0.0,0.0,0.117,1.404,0.9562,1591420499,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8375260200.0,0.0,0.117,0.0,0.0,0.0,995.0,0.0,1.404,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591420200,1591420500,0.0,NOT_TOU
100.0,0.135,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.887,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25479008300.0,0.0,0.074,0.0,0.0,0.0,1348.0,0.0,0.887,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.074,0.887,0.0,0.0,0.079,0.949,0.9355,1591420799,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8375544800.0,0.0,0.079,0.0,0.0,0.0,1392.0,0.0,0.949,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591420500,1591420800,0.0,NOT_TOU
100.0,0.122,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.99,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25479303200.0,0.0,0.082,0.0,0.0,0.0,560.0,0.0,0.99,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.082,0.99,0.0,0.0,0.088,1.058,0.9356,1591421099,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8375862300.0,0.0,0.088,0.0,0.0,0.0,605.0,0.0,1.058,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591420800,1591421100,0.0,NOT_TOU
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25479536600.0,0.0,0.064,0.0,0.0,0.0,1250.0,0.0,0.771,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.064,0.771,0.0,0.0,0.069,0.833,0.9264,1591421399,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8376112100.0,0.0,0.069,0.0,0.0,0.0,1293.0,0.0,0.833,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591421100,1591421400,0.0,NOT_TOU
100.0,0.111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.079,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25479860200.0,0.0,0.09,0.0,0.0,0.0,1030.0,0.0,1.079,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.09,1.079,0.0,0.0,0.095,1.14,0.9462,1591421699,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8376454100.0,0.0,0.095,0.0,0.0,0.0,1074.0,0.0,1.14,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591421400,1591421700,0.0,NOT_TOU
100.0,0.088,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,1.359,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25480267800.0,0.0,0.113,0.0,0.0,0.0,1182.0,0.0,1.359,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.113,1.359,0.0,0.0,0.118,1.42,0.9568,1591421999,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8376880100.0,0.0,0.118,0.0,0.0,0.0,1226.0,0.0,1.42,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591421700,1591422000,0.0,NOT_TOU
